time,magnitude,depth,longitude,latitude,place,event_id,year,month,day,energy_proxy
2008-05-30 01:18:56.520000,1.9,,14.067,40.923,7 km W Qualiano (NA),1821059,2008,5,2008-05-30,707.9457843841374
2010-12-21 02:47:12.000000,1.3,,14.069,40.845,2 km W Pozzuoli (NA),2294759,2010,12,2010-12-21,89.12509381337459
2015-10-07 07:20:34.000000,1.5,,14.149,40.836,5 km S Quarto (NA),6142081,2015,10,2015-10-07,177.82794100389228
2015-10-07 07:31:32.000000,1.9,,14.152,40.828,6 km E Pozzuoli (NA),6142091,2015,10,2015-10-07,707.9457843841374
2015-10-07 07:37:40.000000,2.2,,14.146,40.83,5 km E Pozzuoli (NA),6142101,2015,10,2015-10-07,1995.262314968881
2015-10-07 07:54:13.000000,2.0,,14.149,40.831,5 km E Pozzuoli (NA),6142131,2015,10,2015-10-07,1000.0
2015-10-07 08:13:51.000000,2.3,,14.146,40.83,5 km E Pozzuoli (NA),6142141,2015,10,2015-10-07,2818.382931264452
2015-10-07 09:10:50.000000,2.5,,14.148,40.828,5 km E Pozzuoli (NA),6142151,2015,10,2015-10-07,5623.413251903491
2016-06-04 02:38:00.000000,1.5,,14.136,40.817,Ischia e costa Flegrea (Napoli),6783751,2016,6,2016-06-04,177.82794100389228
2016-06-04 02:45:59.000000,1.6,,14.135,40.823,5 km SE Pozzuoli (NA),6783791,2016,6,2016-06-04,251.18864315095823
2016-07-11 05:10:00.000000,1.5,,14.102,40.796,Ischia e costa Flegrea (Napoli),6925231,2016,7,2016-07-11,177.82794100389228
2016-08-29 15:45:00.000000,1.5,,14.15,40.828,5 km E Pozzuoli (NA),7387441,2016,8,2016-08-29,177.82794100389228
2018-03-12 13:37:16.000000,1.0,,14.15,40.826,5 km E Pozzuoli (NA),18427781,2018,3,2018-03-12,31.622776601683793
2018-03-12 13:40:46.000000,1.1,,14.148,40.83,5 km E Pozzuoli (NA),18427791,2018,3,2018-03-12,44.668359215096324
2018-03-12 13:41:23.030000,1.4,,14.1333,40.842,4 km E Pozzuoli (NA),18426471,2018,3,2018-03-12,125.89254117941663
2018-03-12 13:45:37.000000,1.3,,14.15,40.825,6 km E Pozzuoli (NA),18427801,2018,3,2018-03-12,89.12509381337459
2018-03-12 13:50:14.000000,1.4,,14.15,40.829,5 km E Pozzuoli (NA),18427831,2018,3,2018-03-12,125.89254117941663
2018-03-12 13:58:06.000000,1.8,,14.149,40.83,5 km E Pozzuoli (NA),18426821,2018,3,2018-03-12,501.18723362727246
2018-03-12 14:09:06.300000,1.8,,14.1342,40.8402,4 km E Pozzuoli (NA),18426681,2018,3,2018-03-12,501.18723362727246
2018-03-12 14:25:43.000000,1.2,,14.149,40.829,5 km E Pozzuoli (NA),18427871,2018,3,2018-03-12,63.0957344480193
2018-03-12 14:39:41.000000,1.4,,14.15,40.824,6 km E Pozzuoli (NA),18427881,2018,3,2018-03-12,125.89254117941663
2018-03-12 14:44:29.000000,1.0,,14.148,40.827,5 km E Pozzuoli (NA),18427891,2018,3,2018-03-12,31.622776601683793
2018-03-12 14:58:59.000000,1.3,,14.14,40.829,5 km E Pozzuoli (NA),18427901,2018,3,2018-03-12,89.12509381337459
2018-03-12 15:12:46.000000,1.4,,14.15,40.827,5 km E Pozzuoli (NA),18427921,2018,3,2018-03-12,125.89254117941663
2018-04-21 04:26:18.000000,1.7,,14.138,40.828,4 km SE Pozzuoli (NA),18935231,2018,4,2018-04-21,354.8133892335753
2018-06-14 21:57:37.100000,1.3,,14.1358,40.8368,4 km E Pozzuoli (NA),19726281,2018,6,2018-06-14,89.12509381337459
2018-06-14 22:13:24.030000,1.4,,14.1367,40.8383,4 km E Pozzuoli (NA),19726411,2018,6,2018-06-14,125.89254117941663
2018-09-15 09:23:57.000000,1.6,,14.142,40.811,Golfo di Napoli e Capri (Napoli),20682901,2018,9,2018-09-15,251.18864315095823
2018-09-18 21:36:42.790000,2.1,,14.1627,40.8447,4 km SE Quarto (NA),20713961,2018,9,2018-09-18,1412.5375446227554
2018-10-08 01:34:45.000000,1.5,,14.134,40.827,4 km SE Pozzuoli (NA),20858171,2018,10,2018-10-08,177.82794100389228
2018-10-12 07:43:35.000000,2.0,,14.145,40.836,5 km E Pozzuoli (NA),20888871,2018,10,2018-10-12,1000.0
2019-01-10 00:28:11.000000,1.9,,14.169,40.843,4 km SE Quarto (NA),21357541,2019,1,2019-01-10,707.9457843841374
2019-03-15 04:26:41.310000,2.0,,14.1417,40.841,4 km S Quarto (NA),21843321,2019,3,2019-03-15,1000.0
2019-04-10 22:56:47.000000,1.8,,14.146,40.829,5 km E Pozzuoli (NA),22029011,2019,4,2019-04-10,501.18723362727246
2019-04-16 10:23:42.170000,1.2,,14.1362,40.8232,5 km SE Pozzuoli (NA),22058971,2019,4,2019-04-16,63.0957344480193
2019-06-12 00:30:45.460000,1.7,,14.0918,40.8362,1 km S Pozzuoli (NA),22438881,2019,6,2019-06-12,354.8133892335753
2019-07-24 06:38:37.000650,1.7,,14.146,40.82217,5 km SE Pozzuoli (NA),22730571,2019,7,2019-07-24,354.8133892335753
2019-09-05 04:03:01.000660,1.6,,14.10067,40.815,Ischia e costa Flegrea (Napoli),23025521,2019,9,2019-09-05,251.18864315095823
2019-10-05 05:08:37.230000,2.3,,14.1415,40.8383,4 km E Pozzuoli (NA),23222571,2019,10,2019-10-05,2818.382931264452
2019-11-20 03:44:08.000210,1.7,,14.12233,40.83083,3 km SE Pozzuoli (NA),23468521,2019,11,2019-11-20,354.8133892335753
2019-12-06 00:17:24.120000,2.4,,14.1523,40.8255,6 km E Pozzuoli (NA),23542681,2019,12,2019-12-06,3981.071705534969
2019-12-06 00:50:50.800000,1.4,,14.1383,40.8298,4 km E Pozzuoli (NA),23542751,2019,12,2019-12-06,125.89254117941663
2019-12-06 21:44:51.720000,1.6,,14.0968,40.9195,5 km W Qualiano (NA),23546501,2019,12,2019-12-06,251.18864315095823
2020-04-08 00:50:29.860000,2.1,,14.1435,40.8278,5 km E Pozzuoli (NA),24236231,2020,4,2020-04-08,1412.5375446227554
2020-04-10 09:49:56.080000,1.5,,14.1288,40.8455,3 km E Pozzuoli (NA),24246911,2020,4,2020-04-10,177.82794100389228
2020-04-17 18:31:01.880000,1.1,,14.13333,40.82033,5 km SE Pozzuoli (NA),24279781,2020,4,2020-04-17,44.668359215096324
2020-04-20 22:32:09.210000,1.0,,14.14533,40.829,5 km E Pozzuoli (NA),24292791,2020,4,2020-04-20,31.622776601683793
2020-04-26 02:16:32.289000,2.0,,14.14767,40.82867,5 km E Pozzuoli (NA),24317411,2020,4,2020-04-26,1000.0
2020-04-26 02:26:51.789000,1.6,,14.14817,40.82833,5 km E Pozzuoli (NA),24317261,2020,4,2020-04-26,251.18864315095823
2020-04-26 02:41:13.770000,1.9,,14.1507,40.8572,2 km S Quarto (NA),24317251,2020,4,2020-04-26,707.9457843841374
2020-04-26 02:59:02.780000,2.4,,14.1498,40.8623,2 km S Quarto (NA),24317311,2020,4,2020-04-26,3981.071705534969
2020-04-26 03:32:27.279000,1.0,,14.14583,40.83133,5 km E Pozzuoli (NA),24317701,2020,4,2020-04-26,31.622776601683793
2020-04-26 03:35:56.539000,1.3,,14.14583,40.82867,5 km E Pozzuoli (NA),24317801,2020,4,2020-04-26,89.12509381337459
2020-04-26 04:32:25.290000,1.5,,14.1447,40.8313,5 km E Pozzuoli (NA),24317761,2020,4,2020-04-26,177.82794100389228
2020-05-13 18:15:13.690000,1.4,,14.09883,40.82467,Ischia e costa Flegrea (Napoli),24415911,2020,5,2020-05-13,125.89254117941663
2020-05-28 18:47:30.760000,1.5,,14.0965,40.821,Ischia e costa Flegrea (Napoli),24523531,2020,5,2020-05-28,177.82794100389228
2020-06-18 19:25:56.440000,1.2,,14.14217,40.831,5 km E Pozzuoli (NA),24665731,2020,6,2020-06-18,63.0957344480193
2020-07-11 21:22:37.809000,1.1,,14.15,40.83083,5 km E Pozzuoli (NA),24816981,2020,7,2020-07-11,44.668359215096324
2020-07-11 21:23:10.779000,1.0,,14.146,40.83083,5 km E Pozzuoli (NA),24817011,2020,7,2020-07-11,31.622776601683793
2020-07-14 19:07:08.730000,1.0,,14.13883,40.82167,5 km SE Pozzuoli (NA),24833971,2020,7,2020-07-14,31.622776601683793
2020-08-01 03:48:13.619000,1.0,,14.14267,40.827,5 km E Pozzuoli (NA),24949401,2020,8,2020-08-01,31.622776601683793
2020-09-10 01:48:31.799000,1.1,,14.12283,40.81783,Ischia e costa Flegrea (Napoli),25241051,2020,9,2020-09-10,44.668359215096324
2020-09-10 01:48:57.549000,1.1,,14.1235,40.81667,Ischia e costa Flegrea (Napoli),25241101,2020,9,2020-09-10,44.668359215096324
2020-09-11 17:32:30.549000,1.1,,14.14167,40.828,5 km E Pozzuoli (NA),25252611,2020,9,2020-09-11,44.668359215096324
2020-09-18 09:10:25.960000,1.2,,14.13467,40.8235,5 km SE Pozzuoli (NA),25293641,2020,9,2020-09-18,63.0957344480193
2020-09-18 09:28:17.380000,1.2,,14.13367,40.82783,4 km SE Pozzuoli (NA),25293681,2020,9,2020-09-18,63.0957344480193
2020-09-20 14:44:16.589000,1.2,,14.1365,40.82667,4 km SE Pozzuoli (NA),25310731,2020,9,2020-09-20,63.0957344480193
2020-10-09 01:23:18.079000,1.1,,14.12317,40.82283,4 km SE Pozzuoli (NA),25477681,2020,10,2020-10-09,44.668359215096324
2020-10-15 03:59:33.640000,1.1,,14.13183,40.82267,4 km SE Pozzuoli (NA),25494111,2020,10,2020-10-15,44.668359215096324
